City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,longyearbyen,78.2186,15.6401,-6.09,79,75,5.14,SJ,1676079767
84,meulaboh,4.1363,96.1285,25.09,83,87,2.24,ID,1676080062
85,sitka,57.0531,-135.33,3.94,60,100,6.17,US,1676080063
86,truro,50.2653,-5.0544,8.6,100,75,1.54,GB,1676080064
87,laguna,38.421,-121.4238,14.08,66,0,7.2,US,1676080064
88,dikson,73.5069,80.5464,-16.48,95,100,5.3,RU,1676080065
89,la ronge,55.1001,-105.2842,-4.86,93,100,5.66,CA,1676079924
90,nelson bay,-32.7167,152.15,32.03,73,6,4.47,AU,1676080066
91,lamesa,32.7376,-101.951,1.96,31,0,3.32,US,1676080067
92,srednekolymsk,67.45,153.6833,-39.02,96,80,1.72,RU,1676080067
93,disna,55.568,28.1971,-2.41,92,100,5.66,BY,1676080068
94,east london,-33.0153,27.9116,21.73,81,87,3.57,ZA,1676080058
95,nuuk,64.1835,-51.7216,-20.69,95,100,3.08,GL,1676080069
96,monte patria,-30.6919,-70.9467,24.53,57,3,1.53,CL,1676080070
97,touros,-5.1989,-35.4608,26.71,70,37,5.79,BR,1676080070
98,pasrur,32.2641,74.6634,9.95,57,99,0.58,PK,1676080071
99,hobyo,5.3505,48.5268,24.52,73,100,9.57,SO,1676080072
100,viedma,-40.8135,-62.9967,23.3,55,0,6.16,AR,1676079787
101,georgetown,5.4112,100.3354,28.96,89,20,2.06,MY,1676079847
102,saskylakh,71.9167,114.0833,-43.38,99,58,3.21,RU,1676080073
103,morro bay,35.3658,-120.8499,14.41,83,100,2.68,US,1676079867
104,coquimbo,-29.9533,-71.3436,18.85,88,20,3.09,CL,1676080058
105,port lincoln,-34.7333,135.8667,22.0,60,0,7.13,AU,1676080074
106,atuona,-9.8,-139.0333,26.16,75,7,6.79,PF,1676080075
107,nabire,-3.3667,135.4833,29.44,66,93,1.85,ID,1676080076
108,portland,45.5234,-122.6762,11.52,79,46,1.79,US,1676080000
109,kruisfontein,-34.0033,24.7314,16.91,95,10,2.45,ZA,1676080077
110,alofi,-19.0595,-169.9187,20.94,100,75,4.12,NU,1676080077
111,takoradi,4.8845,-1.7554,25.92,88,3,2.34,GH,1676080078
112,port alfred,-33.5906,26.891,21.21,92,100,5.72,ZA,1676080078
113,qaanaaq,77.484,-69.3632,-29.36,68,13,1.22,GL,1676080079
114,yulara,-25.2406,130.9889,36.57,16,0,4.45,AU,1676079986
115,kaka,37.3482,59.6143,-3.2,68,16,1.46,TM,1676080080
116,moussoro,13.6408,16.4901,20.33,12,5,5.33,TD,1676080080
117,oyon,-10.6681,-76.7731,9.54,87,100,0.72,PE,1676080081
118,castro,-24.7911,-50.0119,16.96,97,99,2.2,BR,1676079872
119,kununurra,-15.7667,128.7333,25.99,89,100,5.66,AU,1676080082
120,san luis,-33.295,-66.3356,26.15,28,47,2.92,AR,1676080083
121,leningradskiy,69.3833,178.4167,-29.05,96,100,5.28,RU,1676080083
122,norman wells,65.282,-126.8329,-21.98,77,75,3.6,CA,1676080084
123,cherskiy,68.75,161.3,-38.14,95,92,2.22,RU,1676080085
124,lagos,6.5833,3.75,28.18,89,2,1.38,NG,1676079752
125,beringovskiy,63.05,179.3167,-28.57,91,35,5.0,RU,1676080086
126,kiama,-34.6833,150.8667,32.92,67,19,5.36,AU,1676079990
127,saint-philippe,-21.3585,55.7679,24.77,81,14,3.73,RE,1676080087
128,birin,26.8865,88.0718,10.0,69,30,0.7,NP,1676080088
129,padang,-0.9492,100.3543,26.03,72,36,2.04,ID,1676080089
130,airai,-8.9266,125.4092,20.28,79,99,2.35,TL,1676080089
131,yar-sale,66.8333,70.8333,-11.15,96,40,4.61,RU,1676080090
132,lazaro cardenas,17.9583,-102.2,24.47,74,0,2.39,MX,1676080091
133,ribeira grande,38.5167,-28.7,14.32,82,89,1.34,PT,1676080091
134,kodiak,57.79,-152.4072,3.73,81,75,0.0,US,1676080092
135,sao filipe,14.8961,-24.4956,21.16,76,100,3.21,CV,1676080093
136,port elizabeth,-33.918,25.5701,21.16,88,75,4.12,ZA,1676080094
137,san pedro de macoris,18.4616,-69.2972,25.07,88,0,5.1,DO,1676080095
138,micheweni,-4.9667,39.8333,26.84,76,44,4.83,TZ,1676080095
139,griffith,41.5284,-87.4237,0.29,62,0,3.09,US,1676079905
140,chervone,49.9564,28.8645,-3.21,95,100,3.47,UA,1676080097
141,gua musang,4.8823,101.9644,25.3,87,88,0.71,MY,1676080097
142,harper,4.375,-7.7169,26.0,85,3,1.41,LR,1676080098
143,kibray,41.3873,69.4641,-4.71,65,0,1.87,UZ,1676080099
144,progreso,21.2833,-89.6667,25.62,83,82,4.81,MX,1676080100
145,kamenka,51.3223,42.7678,-9.79,92,32,4.94,RU,1676080101
146,waingapu,-9.6567,120.2641,28.75,72,100,3.86,ID,1676080102
147,shar,49.5886,81.0453,-12.91,82,84,5.61,KZ,1676080102
148,luderitz,-26.6481,15.1594,16.75,97,59,1.74,NA,1676080103
